review,rating,date,bank,source,sentiment_label,sentiment_score
Best the best fast,5,2025-05-02,CBE,Google Play,positive,0.8555
happy,5,2025-05-02,CBE,Google Play,positive,0.5719
fast and reliable,5,2025-05-02,CBE,Google Play,neutral,0.0
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral,0.0
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative,-0.2382
its good and simple to use,5,2025-05-02,CBE,Google Play,positive,0.4404
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive,0.5994
it's the best app i,5,2025-05-02,CBE,Google Play,positive,0.6369
not bad not good,1,2025-05-02,CBE,Google Play,positive,0.5981
its very nice,5,2025-05-02,CBE,Google Play,positive,0.4754
do not work this week,3,2025-04-30,CBE,Google Play,neutral,0.0
It crashes frequently,4,2025-04-30,CBE,Google Play,neutral,0.0
the best,5,2025-04-28,CBE,Google Play,positive,0.6369
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,positive,0.4215
goid,5,2025-04-28,CBE,Google Play,neutral,0.0
best appearance,5,2025-04-27,CBE,Google Play,positive,0.6369
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive,0.4927
abinet kutafo,1,2025-04-27,CBE,Google Play,neutral,0.0
I need support you,5,2025-04-27,CBE,Google Play,positive,0.4019
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,-0.6249
Nuree mahamud,5,2025-04-26,CBE,Google Play,neutral,0.0
super,5,2025-04-26,CBE,Google Play,positive,0.5994
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral,0.0
i like the app,5,2025-04-26,CBE,Google Play,positive,0.3612
the Best,1,2025-04-26,CBE,Google Play,positive,0.6369
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,-0.5423
tank's,5,2025-04-25,CBE,Google Play,neutral,0.0
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive,0.6804
it is so nice,5,2025-04-24,CBE,Google Play,positive,0.5598
Very Good👍,5,2025-04-21,CBE,Google Play,positive,0.4927
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative,-0.8797
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive,0.8225
use ful,5,2025-04-21,CBE,Google Play,neutral,0.0
Great app,5,2025-04-21,CBE,Google Play,positive,0.6249
well app,5,2025-04-20,CBE,Google Play,positive,0.2732
Actually it is inactive,4,2025-04-19,CBE,Google Play,neutral,0.0
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral,0.0
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral,0.0
i like it,5,2025-04-18,CBE,Google Play,positive,0.3612
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral,0.0
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive,0.6908
Thank you!!!,5,2025-04-18,CBE,Google Play,positive,0.5229
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral,0.0
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive,0.7823
perfectly special,5,2025-04-18,CBE,Google Play,positive,0.7845
Fast and Reliable,5,2025-04-18,CBE,Google Play,neutral,0.0
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive,0.6369
great app!!!,5,2025-04-17,CBE,Google Play,positive,0.7163
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral,0.0
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive,0.7629
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive,0.6084
the best app,5,2025-04-16,CBE,Google Play,positive,0.6369
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive,0.34
great,5,2025-04-15,CBE,Google Play,positive,0.6249
Nice service,5,2025-04-15,CBE,Google Play,positive,0.4215
great app,5,2025-04-15,CBE,Google Play,positive,0.6249
it's special apps,5,2025-04-15,CBE,Google Play,positive,0.4019
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral,0.0
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral,0.0
Good 🔥,5,2025-04-14,CBE,Google Play,positive,0.128
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive,0.7645
lebaa bank,5,2025-04-14,CBE,Google Play,neutral,0.0
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,neutral,0.0
OK,5,2025-04-13,CBE,Google Play,positive,0.296
grateful app,5,2025-04-13,CBE,Google Play,positive,0.4588
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,neutral,0.0
everthing wellbeok,3,2025-04-13,CBE,Google Play,neutral,0.0
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,positive,0.6486
nice app 👌,5,2025-04-12,CBE,Google Play,positive,0.8374
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,neutral,0.0
it so good app,5,2025-04-12,CBE,Google Play,positive,0.4927
جميل,5,2025-04-11,CBE,Google Play,neutral,0.0
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,neutral,0.0
simply for used,4,2025-04-11,CBE,Google Play,neutral,0.0
wow keep up,5,2025-04-10,CBE,Google Play,positive,0.5859
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,positive,0.6705
good one,5,2025-04-10,CBE,Google Play,positive,0.4404
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,positive,0.6597
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,neutral,0.0
ጎበዝ,5,2025-04-09,CBE,Google Play,neutral,0.0
but this app says can't sync,5,2025-04-09,CBE,Google Play,neutral,0.0
waw,5,2025-04-09,CBE,Google Play,neutral,0.0
to slow,3,2025-04-09,CBE,Google Play,neutral,0.0
work on screen shot system,4,2025-04-08,CBE,Google Play,neutral,0.0
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,0.5222
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,positive,0.4404
easy and reliable,2,2025-04-08,CBE,Google Play,positive,0.4404
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,positive,0.4927
perfect app,5,2025-04-07,CBE,Google Play,positive,0.5719
I like it.,5,2025-04-07,CBE,Google Play,positive,0.3612
bugs,3,2025-04-07,CBE,Google Play,neutral,0.0
commerial Bank,5,2025-04-06,CBE,Google Play,neutral,0.0
Genat biru,2,2025-04-06,CBE,Google Play,neutral,0.0
🙏,5,2025-04-06,CBE,Google Play,neutral,0.0
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,neutral,-0.0127
the best one,5,2025-04-06,CBE,Google Play,positive,0.6369
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,positive,0.3612
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,neutral,0.0
Good!👍,3,2025-04-05,CBE,Google Play,positive,0.4926
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive,0.6369
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,positive,0.296
easy to use,5,2025-04-05,CBE,Google Play,positive,0.4404
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,positive,0.9464
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,neutral,0.0
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,positive,0.4601
cool ❤,4,2025-04-04,CBE,Google Play,positive,0.7579
Best app,5,2025-04-04,CBE,Google Play,positive,0.6369
best banking App,4,2025-04-03,CBE,Google Play,positive,0.6369
satisfied,5,2025-04-03,CBE,Google Play,positive,0.4215
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,neutral,0.0
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,positive,0.7554
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,positive,0.8104
perfect,5,2025-04-03,CBE,Google Play,positive,0.5719
thankyou,5,2025-04-02,CBE,Google Play,neutral,0.0
I Like it,5,2025-04-02,CBE,Google Play,positive,0.3612
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,positive,0.3975
smart app,5,2025-04-02,CBE,Google Play,positive,0.4019
isin ga'a,2,2025-04-02,CBE,Google Play,neutral,0.0
it's great,5,2025-04-02,CBE,Google Play,positive,0.6249
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,positive,0.4927
It is excelent,5,2025-04-01,CBE,Google Play,neutral,0.0
Smart,5,2025-04-01,CBE,Google Play,positive,0.4019
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,neutral,0.0
very interesting app,5,2025-04-01,CBE,Google Play,positive,0.4576
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,neutral,0.0
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,neutral,0.0
Excellent🙏app,5,2025-04-01,CBE,Google Play,positive,0.5719
the most useful,5,2025-04-01,CBE,Google Play,positive,0.4927
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,positive,0.7956
Easy to use,5,2025-04-01,CBE,Google Play,positive,0.4404
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,neutral,0.0252
Excellent !!!,5,2025-04-01,CBE,Google Play,positive,0.6784
always we relay on,5,2025-04-01,CBE,Google Play,neutral,0.0
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,positive,0.6486
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,positive,0.7245
goode app,5,2025-04-01,CBE,Google Play,neutral,0.0
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,positive,0.4754
safe easy & fast,5,2025-04-01,CBE,Google Play,positive,0.7003
it's good app,5,2025-04-01,CBE,Google Play,positive,0.4404
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,negative,-0.2588
ጥሩ ነው,5,2025-04-01,CBE,Google Play,neutral,0.0
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,neutral,0.0
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,neutral,0.0
suitable app,4,2025-04-01,CBE,Google Play,neutral,0.0
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,positive,0.5719
best transaction method of financial,5,2025-04-01,CBE,Google Play,positive,0.6369
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,positive,0.5673
It literarily don't work at all,4,2025-04-01,CBE,Google Play,neutral,0.0
good give us plus,5,2025-04-01,CBE,Google Play,positive,0.4404
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,CBE,Google Play,positive,0.7476
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,CBE,Google Play,neutral,0.0
Tnc Cbe,5,2025-04-01,CBE,Google Play,neutral,0.0
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play,positive,0.5778
great apps,5,2025-03-31,CBE,Google Play,positive,0.6249
Excellent,5,2025-03-31,CBE,Google Play,positive,0.5719
Great app!,4,2025-03-31,CBE,Google Play,positive,0.6588
CBE,5,2025-03-31,CBE,Google Play,neutral,0.0
very good 👍 👏,5,2025-03-31,CBE,Google Play,positive,0.4927
great when it works,5,2025-03-31,CBE,Google Play,positive,0.6249
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play,positive,0.2724
excellent match application,5,2025-03-31,CBE,Google Play,positive,0.5719
The Best app😍😍😍,5,2025-03-31,CBE,Google Play,positive,0.9217
excellent app,5,2025-03-31,CBE,Google Play,positive,0.5719
easy to use and user friendly,5,2025-03-31,CBE,Google Play,positive,0.7269
very nice,5,2025-03-31,CBE,Google Play,positive,0.4754
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,CBE,Google Play,neutral,0.0
well software,5,2025-03-31,CBE,Google Play,positive,0.2732
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,4,2025-03-31,CBE,Google Play,neutral,0.0
CBE very good apps,5,2025-03-31,CBE,Google Play,positive,0.4927
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,CBE,Google Play,positive,0.6786
excellent service,5,2025-03-31,CBE,Google Play,positive,0.5719
it's best,5,2025-03-31,CBE,Google Play,positive,0.6369
Why didn't you display cash transactions and bank statement in the mobile banking app?,4,2025-03-31,CBE,Google Play,neutral,0.0
