review,rating,date,bank,source
It's good app,5,2024-03-22 19:29:40,Dashen,Google Play
Very secured app but after the last update it takes long time to start .pls minimize the start time ppl might have no patience to wait more than 30 seconds just for the app to open ..,5,2024-03-22 15:38:25,Dashen,Google Play
Nice,4,2024-03-22 14:11:27,Dashen,Google Play
I don't know why I have been stuck with other mobile banking systems when all I needed was amole... I loved it,5,2024-03-22 09:45:13,Dashen,Google Play
Special for me,5,2024-03-21 21:35:05,Dashen,Google Play
Baset app,5,2024-03-20 21:39:06,Dashen,Google Play
it is good App,4,2024-03-19 21:00:20,Dashen,Google Play
Nuuroo usmaan gaamilcom,5,2024-03-18 20:44:30,Dashen,Google Play
good,4,2024-03-18 08:54:58,Dashen,Google Play
Very good app,5,2024-03-17 22:18:34,Dashen,Google Play
Student,5,2024-03-17 19:31:49,Dashen,Google Play
Please apply!cardless cash out system🙏,2,2024-03-17 18:10:39,Dashen,Google Play
it has a lot of options but it is a slowe while opning by biometric,2,2024-03-17 13:22:54,Dashen,Google Play
The last update is not working correctly so i stop using this app betam huwala ker new dashen bank needs to work on its digital app teams,5,2024-03-17 11:31:51,Dashen,Google Play
How to use application,5,2024-03-17 01:46:43,Dashen,Google Play
cooooolllllll,5,2024-03-17 00:00:05,Dashen,Google Play
I prefered you b/cs your service charge is very fair.,5,2024-03-16 22:28:16,Dashen,Google Play
Excellent App And Easy To Use Every where.,5,2024-03-16 19:47:03,Dashen,Google Play
ተመችቶናል,4,2024-03-16 17:31:52,Dashen,Google Play
The best app,5,2024-03-16 15:05:26,Dashen,Google Play
Well done Dashen Bank.,4,2024-03-16 12:49:50,Dashen,Google Play
በጣም አሪፍ ነው,5,2024-03-16 03:36:24,Dashen,Google Play
Good,5,2024-03-13 11:53:23,Dashen,Google Play
"The UI/UX experience is already good, but some minor tweaks in font sizes and color can take it to the top-notch level. Imagine the sheer joy and satisfaction your users will feel when they see the polished and refined interface you've created for them. Don't miss the opportunity to impress them even more with these simple yet impactful changes.",5,2024-03-12 12:47:48,Dashen,Google Play
I m the one here in Dashen bank,5,2024-03-06 12:10:42,Dashen,Google Play
improve more,3,2024-03-04 20:40:41,Dashen,Google Play
Tremendous,5,2024-03-04 18:13:49,Dashen,Google Play
ለመግባት (login) ቀርፋፋ ነው ።,1,2024-03-04 09:47:23,Dashen,Google Play
I like this,3,2024-03-03 22:34:13,Dashen,Google Play
Longin fails repeatedly,3,2024-02-28 08:11:19,Dashen,Google Play
One of the best app I have ever seen it's simple to use,5,2024-02-26 14:42:01,Dashen,Google Play
Personal scored,5,2024-02-25 20:23:50,Dashen,Google Play
Nice app,5,2024-02-24 17:01:29,Dashen,Google Play
best app,5,2024-02-24 16:50:43,Dashen,Google Play
Best app,3,2024-02-24 13:44:50,Dashen,Google Play
Good,5,2024-02-24 12:40:36,Dashen,Google Play
Welcome,4,2024-02-22 19:01:37,Dashen,Google Play
Good,5,2024-02-21 02:36:31,Dashen,Google Play
Needs to be underrated. Bad service,1,2024-02-20 15:38:14,Dashen,Google Play
Easy to use,4,2024-02-15 18:30:12,Dashen,Google Play
Its nice,5,2024-02-12 19:32:23,Dashen,Google Play
Mudeme,5,2024-02-12 02:15:28,Dashen,Google Play
The upgraded Amole lite app is nice. I’ve loved it. But #USSD CANNOT BE ADJUSTED FOR NEW CUSTOMERS ESPECIALLY THOSE WHO DO NOT HAVE SMARTPHONES. YOU NEED TO IMPROVE THIS ONE,5,2024-02-11 18:05:21,Dashen,Google Play
Good,1,2024-02-11 11:28:47,Dashen,Google Play
Past,5,2024-02-10 19:06:57,Dashen,Google Play
Nice app,5,2024-02-10 17:48:51,Dashen,Google Play
It doesn't work,5,2024-02-09 13:05:29,Dashen,Google Play
Open,1,2024-02-09 03:30:54,Dashen,Google Play
Good app,1,2024-02-08 11:29:53,Dashen,Google Play
good,5,2024-02-08 07:20:37,Dashen,Google Play
Awesome,5,2024-02-06 20:05:05,Dashen,Google Play
receipt downloading is not avialable in this version,1,2024-02-05 10:42:51,Dashen,Google Play
Good 👍,5,2024-02-04 22:34:15,Dashen,Google Play
Not reliable!,1,2024-02-04 19:06:31,Dashen,Google Play
The last update doesn't work when you chose account to send money on lower Android version,1,2024-02-04 18:02:35,Dashen,Google Play
Nice app,1,2024-02-03 16:39:45,Dashen,Google Play
Exchange rate is not real,5,2024-02-03 14:17:33,Dashen,Google Play
Good,5,2024-02-03 11:01:27,Dashen,Google Play
Good Security,5,2024-02-03 08:06:22,Dashen,Google Play
"It's good app but i can not see the history of transactions on the app and also updated one is not good can't send always says, choose account",5,2024-02-02 16:47:52,Dashen,Google Play
Its good,5,2024-02-02 04:47:16,Dashen,Google Play
Happy day,4,2024-02-01 21:46:03,Dashen,Google Play
"Disabled taking screenshots so there's no way to share payment confirmation screenshot with people. When you think the app couldn't get any worse, somehow these people find a way to do so.",1,2024-02-01 18:13:06,Dashen,Google Play
Too technical.,1,2024-02-01 14:51:58,Dashen,Google Play
Excellent,5,2024-02-01 13:45:56,Dashen,Google Play
🥰🥰🥰🥰,5,2024-02-01 13:44:48,Dashen,Google Play
Fast and secured,5,2024-02-01 13:19:27,Dashen,Google Play
Good,5,2024-02-01 11:11:13,Dashen,Google Play
Good but it need additional work it is slow in respond,3,2024-01-31 23:18:32,Dashen,Google Play
Nice app,5,2024-01-31 17:50:15,Dashen,Google Play
My best,5,2024-01-31 16:36:34,Dashen,Google Play
"l am old customer of dashen bank, i started to use this app almost for five month, in those time i didn't saw any negative on this app, its interesting and you can pay and recieve payment easily. from ethiopian banks i give five star its always seek new technology than ever bank.",5,2024-01-31 12:21:55,Dashen,Google Play
Its nice please add reprint to get the receit,5,2024-01-31 11:47:52,Dashen,Google Play
Amole 100%,5,2024-01-31 08:57:30,Dashen,Google Play
I like it this app,4,2024-01-31 07:50:40,Dashen,Google Play
Best,5,2024-01-30 18:33:17,Dashen,Google Play
Smart and best always !,5,2024-01-30 16:59:05,Dashen,Google Play
Ok,1,2024-01-30 15:47:25,Dashen,Google Play
Dashed Bank A...,5,2024-01-29 22:44:18,Dashen,Google Play
Best app,5,2024-01-28 21:26:32,Dashen,Google Play
ያማችኋል አይሰራም,1,2024-01-22 16:13:33,Dashen,Google Play
since i started using this app its speed and reliability is great as well. it incorporates all technologies. I am very impressed with the modern work you are doing with little effort.,5,2024-01-22 08:57:20,Dashen,Google Play
"It doesn't work, it keeps saying ""there was a problem submitting your request. Please try again later"" how come banking app service down all the time. It is very irritating.",1,2024-01-17 18:07:51,Dashen,Google Play
Excellent quality Applications Dashen bank for ever,5,2024-01-15 14:45:25,Dashen,Google Play
Good,5,2024-01-13 18:42:24,Dashen,Google Play
Way,5,2024-01-13 15:51:50,Dashen,Google Play
This is the most ridiculous thing I have ever seen they are on maintenance everyother day,1,2023-12-31 19:16:49,Dashen,Google Play
Well improved!,4,2023-12-29 16:37:02,Dashen,Google Play
Keeps hanging ..,3,2023-12-24 14:29:37,Dashen,Google Play
It's exceptional,5,2023-12-24 11:52:26,Dashen,Google Play
Dashen Bank Amole Lite essy to use and the connection is fast.,5,2023-12-23 23:15:50,Dashen,Google Play
Ita fantastic,5,2023-12-23 14:37:05,Dashen,Google Play
It is best app,5,2023-12-19 14:46:17,Dashen,Google Play
Top,5,2023-12-18 22:21:36,Dashen,Google Play
Dashen Bank is App 🥰👌,5,2023-12-18 21:28:47,Dashen,Google Play
<> መፈክራችው እና ስራችው አይገናኝም ። በጣም የሚያስጠላ app ነው። ቀድሞ ያልዘመና ነው በአጠቃላይ ጊዜ እና ገንዘብ የሚያከስር app ነው ። keep our time unless uses this app,1,2023-12-18 12:19:56,Dashen,Google Play
I am very comfortable with the efficiency,5,2023-12-15 23:18:24,Dashen,Google Play
"I tried to use this app for long and failed to do so. Initially, I able to use it even though with difficulty (very slow, need of login and logout) now and then. Then i couldn't use it. I tried to reset with one of the Dashen branch bank but failed",1,2023-12-11 19:06:41,Dashen,Google Play
⭐️⭐️⭐️⭐️⭐️,5,2023-12-08 02:36:12,Dashen,Google Play
Too slow!,1,2023-12-05 16:10:00,Dashen,Google Play
a best tecnology appl.,5,2023-11-26 13:07:26,Dashen,Google Play
This app no working 1 star,1,2023-11-23 16:38:59,Dashen,Google Play
This app works so good. But i don't get it why it never show incoming fund transfer report? Have you notice this?,3,2023-11-23 10:51:26,Dashen,Google Play
it sስሎው አፕፕ ፕሊስ ቸንግ አንድ ፋሰት,1,2023-11-22 16:26:46,Dashen,Google Play
There is always room for improvement and an opportunity to adopt! keep improving and keep evolving. I would love to see external services provided by the Amole app to utilize and actively operate our banking account. Option to invest in ideas that could build Ethiopian creativity. Yosef ke Dallas,4,2023-11-22 10:35:49,Dashen,Google Play
"Even though I am a long-time Dashen Bank admirer, I find this app hard to use compared to other banks' mobile apps. It has a problem refreshing account balance, I needed to log out and login to see the updated account balance. Overall, user friendliness of the app needs a serious upgrade. I will improve my rating once problems are addressed.",1,2023-11-22 10:10:58,Dashen,Google Play
Best,5,2023-11-18 22:36:12,Dashen,Google Play
"very fast ,secure and simply to use i like amole",5,2023-11-15 16:41:34,Dashen,Google Play
Amazing,5,2023-11-13 09:00:44,Dashen,Google Play
The best of the best app,5,2023-11-12 17:50:33,Dashen,Google Play
ለአጠቃቀም አመቺ እና ቀላል የሆነ የሞባይል መተግበሪያ ነው ።,5,2023-11-12 11:00:53,Dashen,Google Play
It is a reliable and safe application.,5,2023-11-11 20:30:13,Dashen,Google Play
Good,5,2023-11-11 18:08:39,Dashen,Google Play
"Best app, it saves traveling cost plus work time forgone. Simply bank in your home and hand 🙏",5,2023-11-11 16:40:06,Dashen,Google Play
It is compatible.,4,2023-11-11 11:46:59,Dashen,Google Play
It's very good app but always try to open requested update...,4,2023-11-11 09:06:27,Dashen,Google Play
please how can i fix my app it keep saying application error i have tried to uninstall and install again nothing has changed please help,1,2023-11-10 22:07:06,Dashen,Google Play
"It is too slow application than any one of Ethiopian mobile banking apps. Please make it fast, and its feature beautiful. I am a Dashen Bank Customer and user of this app. Thank you.",2,2023-11-10 18:45:51,Dashen,Google Play
Best,5,2023-11-09 13:51:57,Dashen,Google Play
Not working sometimes,3,2023-11-09 10:06:16,Dashen,Google Play
The best one of the internet banking apps I've come across in Ethiopia. Only thing I would like to see added is the ability to get a receipt after the payment has been payed or transferred. Since it only gives a receipt right at the moment of payment and after that there is no way to get a receipt.,5,2023-11-08 15:21:28,Dashen,Google Play
nice app,4,2023-10-31 08:59:15,Dashen,Google Play
Excellent,5,2023-10-28 19:52:09,Dashen,Google Play
Best,5,2023-10-21 10:29:24,Dashen,Google Play
ምንድን ነው password 🔑 expired የሚለው,5,2023-10-17 19:15:17,Dashen,Google Play
Worst app ever all it does is load and fail plus your customer service on front are not supporting,1,2023-10-17 12:40:35,Dashen,Google Play
Best app I used it,1,2023-10-14 21:10:08,Dashen,Google Play
Faster secure and best international creadite card is the frist bank ethiopian bank to apply prophational card.,5,2023-10-13 16:23:21,Dashen,Google Play
Excllent,5,2023-10-07 12:55:27,Dashen,Google Play
This is nice adds that I like it.,5,2023-09-30 18:23:18,Dashen,Google Play
It is simple and fast.,5,2023-09-29 11:59:34,Dashen,Google Play
👏👏👏,4,2023-09-27 18:35:36,Dashen,Google Play
Vary good,2,2023-09-27 17:49:37,Dashen,Google Play
Amazing banking app.,5,2023-09-26 12:59:32,Dashen,Google Play
Great app,5,2023-09-25 10:00:52,Dashen,Google Play
Best app ever,5,2023-09-10 19:04:11,Dashen,Google Play
Ashabul,5,2023-09-10 15:32:44,Dashen,Google Play
Best easy and secure app thank you,5,2023-09-08 11:06:25,Dashen,Google Play
Best app Ever!,5,2023-09-03 15:38:12,Dashen,Google Play
"Why not we can pay bill,directly from main account, difficult to transfer repeatedly.",5,2023-09-02 22:18:05,Dashen,Google Play
"Aside of some of it's major flows, the worst one yet is that it doesn't give you the full detail of your transaction history. Like the receiver's name and account number. You've to take a screenshot to document it or send it to the receiver as a confirmation.",2,2023-09-02 18:07:32,Dashen,Google Play
Good app for use simple and easy,5,2023-09-01 13:00:32,Dashen,Google Play
ባጠቃላይ ባንኩ እወደዋለሁኝ,5,2023-08-31 21:51:45,Dashen,Google Play
"Like your slogan, you are one step ahead.",5,2023-08-31 17:37:56,Dashen,Google Play
Good,5,2023-08-31 09:38:49,Dashen,Google Play
